,mov_id,언어_제공자_ID,취득연도,방향,타입,dir,file,Label,coord,sign_ord,frame
130,131,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000131.avi,고열,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000131.npy,0,77
132,133,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000133.avi,부러지다,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000133.npy,11,57
148,149,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000149.avi,구해주세요,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000149.npy,1,72
155,156,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000156.avi,기절하다,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000156.npy,2,66
156,157,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000157.avi,깔리다,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000157.npy,3,66
161,162,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000162.avi,납치,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000162.npy,4,57
164,165,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000165.avi,낯선사람,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000165.npy,5,73
181,182,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000182.avi,도둑,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000182.npy,6,57
192,193,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000193.avi,두드러기생기다,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000193.npy,7,89
198,199,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000199.avi,쓰러지다,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000199.npy,15,61
204,205,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000205.avi,맹견,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000205.npy,8,75
233,234,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000234.avi,보내주세요(경찰),/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000234.npy,9,72
234,235,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000235.avi,보내주세요(구급차),/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000235.npy,10,80
270,271,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000271.avi,숨을안쉬다,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000271.npy,12,77
272,273,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000273.avi,신고하세요(경찰),/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000273.npy,13,109
273,274,1,2017,정면,단어,/content/drive/MyDrive/KSL_data/sing_language/dataset/movie/0001_3000,KETI_SL_0000000274.avi,심장마비,/content/drive/MyDrive/KSL_data/sing_language/dataset/coordinate/sample_landmark/KETI_SL_0000000274.npy,14,58
